"filename", "language", "ui", "C++", "Markdown", "PowerShell", "TypeScript", "Properties", "Python", "HTML", "QRC", "CSS", "JavaScript", "Makefile", "XML", "comment", "blank", "total"
"d:\Qt5Project\CodeEditorLite\lib\QScintilla\doc\Scintilla\ScintillaRelated.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 525, 0, 0, 0, 0, 0, 7, 2, 534
"d:\Qt5Project\CodeEditorLite\lib\QScintilla\doc\Scintilla\ScintillaToDo.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 128, 0, 0, 0, 0, 0, 0, 1, 129
"d:\Qt5Project\CodeEditorLite\lib\QScintilla\doc\Scintilla\ScintillaUsage.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 368, 0, 0, 0, 0, 0, 0, 9, 377
"d:\Qt5Project\CodeEditorLite\lib\QScintilla\doc\Scintilla\Steps.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 129, 0, 0, 0, 0, 0, 0, 14, 143
"d:\Qt5Project\CodeEditorLite\lib\QScintilla\doc\Scintilla\StyleMetadata.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 199, 0, 0, 0, 0, 0, 5, 1, 205
"d:\Qt5Project\CodeEditorLite\lib\QScintilla\doc\Scintilla\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 177, 0, 0, 0, 0, 0, 14, 2, 193
"d:\Qt5Project\CodeEditorLite\lib\QScintilla\doc\html\annotated.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 112, 0, 0, 0, 0, 0, 3, 1, 116
"d:\Qt5Project\CodeEditorLite\lib\QScintilla\doc\html\classQsciAPIs-members.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 74, 0, 0, 0, 0, 0, 3, 2, 79
"d:\Qt5Project\CodeEditorLite\lib\QScintilla\doc\html\classQsciAPIs.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 405, 0, 0, 0, 0, 0, 3, 33, 441
"d:\Qt5Project\CodeEditorLite\lib\QScintilla\doc\html\classQsciAbstractAPIs-members.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 57, 0, 0, 0, 0, 0, 3, 2, 62
"d:\Qt5Project\CodeEditorLite\lib\QScintilla\doc\html\classQsciAbstractAPIs.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 1558, 0, 0, 0, 0, 0, 3, 15, 1576
"d:\Qt5Project\CodeEditorLite\lib\QScintilla\doc\html\classQsciCommand-members.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 159, 0, 0, 0, 0, 0, 3, 2, 164
"d:\Qt5Project\CodeEditorLite\lib\QScintilla\doc\html\classQsciCommand.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 524, 0, 0, 0, 0, 0, 3, 13, 540
"d:\Qt5Project\CodeEditorLite\lib\QScintilla\doc\html\classQsciCommandSet-members.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 58, 0, 0, 0, 0, 0, 3, 2, 63
